region,year,ev_sales
Sweden,2017,20359.0
Sweden,2018,28958.0
Sweden,2019,40704.0
Sweden,2020,94236.0
Switzerland,2010,137.0
Switzerland,2011,436.0
Switzerland,2012,737.0
Switzerland,2013,1323.0
Switzerland,2014,2892.0
Switzerland,2015,5636.0
Switzerland,2016,6150.0
Switzerland,2017,8424.0
Switzerland,2018,9526.0
Switzerland,2019,17499.0
Switzerland,2020,33779.0
United Kingdom,2010,276.0
United Kingdom,2011,1218.0
United Kingdom,2012,2693.0
United Kingdom,2013,3752.0
United Kingdom,2014,14743.0
United Kingdom,2015,29340.0
United Kingdom,2016,37920.0
United Kingdom,2017,47286.599609375
United Kingdom,2018,50398.0595703125
United Kingdom,2019,75055.0
United Kingdom,2020,176135.0
United States,2010,1191.0
United States,2011,17730.0
United States,2012,53240.0
United States,2013,96700.0
United States,2014,118835.0
United States,2015,113973.0
United States,2016,160690.0
United States,2017,200619.0
United States,2018,364004.0
United States,2019,328650.0
United States,2020,296337.0
World,2010,8289.0
World,2011,48331.16015625
World,2012,118342.0
World,2013,204257.0
World,2014,329213.71099853516
World,2015,548157.0
World,2016,754380.28125
World,2017,1178009.28125
World,2018,2014482.0
World,2019,2123872.0
World,2020,2986659.0
